ticker,Name,Sector,Price,Dividend Yield,5-Year Average Dividend Yield,Dividends Per Share,Market Cap,Trailing PE Ratio,Payout Ratio,Beta,52 Week High,52 Week Low
RIOT,"Riot Platforms, Inc.",Technology,$8.50,0.0%,0.0%,$1.00,"$2,580",29.7,0.0%,3.08,$18.75,$7.25
RKLB,"Rocket Lab USA, Inc.",N/A,$6.96,0.0%,0.0%,$0.00,"$3,457",N/A,0.0%,1.84,$7.36,$3.47
RLAY,"Relay Therapeutics, Inc.",N/A,$7.20,0.0%,0.0%,$0.00,$964,N/A,0.0%,1.94,$12.14,$5.70
RLGT,"RADIANT LOGISTICS, INC",Industrials,$6.31,0.0%,0.0%,$0.00,$298,49.2,12.9%,0.92,$7.03,$4.83
RLJ,RLJ Lodging Trust,Real Estate,$9.53,4.0%,3.1%,$0.40,"$1,477",35.8,127.4%,1.20,$12.15,$8.80
RLYB,Rallybio Corp,N/A,$1.13,0.0%,0.0%,$0.00,$47,N/A,0.0%,0.35,$5.96,$1.09
RM,Regional Management Corp.,Financial Services,$32.19,4.0%,2.7%,$1.20,$327,13.1,48.3%,1.06,$33.55,$19.83
RMAX,"RE/MAX Holdings, Inc.",Real Estate,$11.43,0.0%,8.8%,$0.92,$215,N/A,N/A,1.11,$16.78,$6.94
RMBS,RAMBUS INC,Technology,$46.69,0.0%,0.0%,$0.00,"$5,023",21.8,0.0%,1.36,$76.38,$38.91
RMNI,"Rimini Street, Inc.",Technology,$1.85,0.0%,0.0%,$0.00,$169,10.3,0.0%,1.21,$3.44,$1.55
RMR,RMR GROUP INC.,Real Estate,$25.14,7.0%,12.2%,$1.70,$798,31.3,112.4%,0.82,$27.34,$20.49
RNA,"Avidity Biosciences, Inc.",N/A,$43.51,0.0%,0.0%,$0.00,"$4,779",N/A,0.0%,1.38,$48.80,$4.83
RNAC,"Cartesian Therapeutics, Inc.",N/A,$13.90,0.0%,0.0%,$0.00,$294,N/A,0.0%,0.67,$42.60,$11.67
RNGR,"Ranger Energy Services, Inc.",Energy,$12.10,2.0%,0.3%,$0.20,$269,17.5,30.5%,-0.01,$14.37,$9.15
RNST,RENASANT CORP,Financial Services,$34.28,3.0%,2.7%,$0.88,"$2,179",14.7,34.0%,0.70,$37.40,$22.50
ROAD,"Construction Partners, Inc.",Industrials,$64.73,0.0%,0.0%,$0.00,"$3,412",47.6,0.0%,1.12,$66.78,$33.15
ROCK,"GIBRALTAR INDUSTRIES, INC.",Industrials,$68.90,0.0%,0.0%,$0.20,"$2,099",18.1,0.0%,1.17,$87.40,$59.66
ROG,ROGERS CORP,Technology,$108.15,0.0%,0.0%,$0.03,"$2,008",34.6,0.0%,0.77,$148.11,$100.31
ROIC,RETAIL OPPORTUNITY INVESTMENTS CORP,Real Estate,$15.50,4.0%,3.4%,$0.60,"$1,977",56.7,382.4%,1.04,$15.75,$10.61
ROVR,Rover Metals Corp,N/A,$10.99,0.0%,0.0%,$0.00,"$2,121",195.3,0.0%,1.44,,
RPAY,Repay Holdings Corp,Technology,$8.68,0.0%,0.0%,$0.00,$796,N/A,N/A,1.59,$11.27,$5.63
RPD,"Rapid7, Inc.",Technology,$38.53,0.0%,0.0%,$0.00,"$2,415",N/A,0.0%,1.68,$61.88,$32.95
RPHM,"Reneo Pharmaceuticals, Inc.",N/A,$1.51,0.0%,0.0%,$0.00,$52,N/A,0.0%,0.73,$9.21,$0.98
RRBI,RED RIVER BANCSHARES INC,Financial Services,$54.00,1.0%,0.5%,$0.34,$372,11.4,7.4%,0.39,$57.78,$42.78
RRGB,RED ROBIN GOURMET BURGERS INC,Consumer Cyclical,$4.32,0.0%,0.0%,$0.00,$68,N/A,0.0%,1.91,$12.80,$3.92
RRR,"Red Rock Resorts, Inc.",Consumer Cyclical,$56.28,4.0%,2.9%,$2.00,"$5,940",34.9,70.7%,1.30,$62.98,$36.64
RSI,"Rush Street Interactive, Inc.",N/A,$9.36,0.0%,0.0%,$0.00,"$2,113",N/A,0.0%,2.13,$11.59,$3.18
RSVR,"Reservoir Media, Inc.",N/A,$7.65,0.0%,0.0%,$0.00,$498,259.9,0.0%,0.72,$9.21,$5.22
RUSHA,RUSH ENTERPRISES INC \TX\,Consumer Cyclical,$53.69,2.0%,0.9%,$0.86,"$4,127",13.4,17.6%,0.77,$56.44,$34.15
RUSHB,RUSH ENTERPRISES INC \TX\,Consumer Cyclical,$47.10,2.0%,1.0%,$0.86,"$4,127",13.4,17.6%,0.72,$52.92,$37.69
RVLV,"Revolve Group, Inc.",Consumer Cyclical,$23.99,0.0%,0.0%,$0.00,"$1,694",51.5,0.0%,1.85,$24.64,$12.25
RVMD,"Revolution Medicines, Inc.",Healthcare,$43.59,0.0%,0.0%,$0.00,"$7,290",N/A,0.0%,1.28,$48.61,$15.44
RVNC,"Revance Therapeutics, Inc.",Healthcare,$6.59,0.0%,0.0%,$0.00,$692,N/A,0.0%,1.23,$19.01,$2.30
RWT,REDWOOD TRUST INC,Real Estate,$7.36,9.0%,11.7%,$0.64,$972,33.5,257.9%,1.29,$7.66,$5.32
RXO,"RXO, Inc.",N/A,$29.58,0.0%,0.0%,$0.00,"$3,477",N/A,0.0%,1.35,$32.82,$16.94
RXRX,"RECURSION PHARMACEUTICALS, INC.",N/A,$7.81,0.0%,0.0%,$0.00,"$2,195",N/A,0.0%,2.34,$15.74,$4.97
RXST,"RxSight, Inc.",N/A,$56.47,0.0%,0.0%,$0.00,"$2,240",N/A,0.0%,1.11,$66.54,$20.66
RXT,"Rackspace Technology, Inc.",N/A,$2.41,0.0%,0.0%,$0.00,$545,N/A,0.0%,2.06,$3.18,$1.15
RYAM,RAYONIER ADVANCED MATERIALS INC.,Basic Materials,$7.51,0.0%,0.0%,$0.28,$494,N/A,0.0%,1.00,$7.88,$2.66
RYI,Ryerson Holding Corp,Industrials,$20.27,4.0%,1.9%,$0.74,$673,10.7,39.6%,1.41,$35.68,$17.57
RYTM,"RHYTHM PHARMACEUTICALS, INC.",Healthcare,$46.18,0.0%,0.0%,$0.00,"$2,819",N/A,0.0%,1.42,$53.92,$20.97
RYZB,,N/A,$62.50,0.0%,0.0%,$0.00,$0,N/A,N/A,2.77,,
SABR,Sabre Corp,Technology,$3.08,0.0%,2.9%,$0.56,"$1,184",N/A,N/A,1.66,$5.52,$1.81
SAFE,Safehold Inc.,Real Estate,$25.51,2.8%,14.2%,$0.71,"$2,213",N/A,N/A,1.43,$25.53,$14.62
SAFT,SAFETY INSURANCE GROUP INC,Financial Services,$85.97,4.2%,4.5%,$3.60,"$1,274",25.0,104.5%,0.32,$88.00,$63.55
SAGE,"Sage Therapeutics, Inc.",Healthcare,$8.40,0.0%,0.0%,$0.00,$513,N/A,0.0%,1.16,$28.26,$7.70
SAH,SONIC AUTOMOTIVE INC,Consumer Cyclical,$62.60,2.0%,1.3%,$1.19,"$2,135",11.2,N/A,1.00,$64.34,$40.51
SAMG,Silvercrest Asset Management Group Inc.,Financial Services,$15.94,5.0%,4.5%,$0.76,$224,26.5,96.7%,0.94,$18.78,$13.76
SANA,"Sana Biotechnology, Inc.",N/A,$5.85,0.0%,0.0%,$0.00,"$1,299",N/A,0.0%,2.59,$12.00,$2.75
SANM,SANMINA CORP,Technology,$70.78,0.0%,0.0%,$0.00,"$3,867",17.3,0.0%,1.07,$76.84,$43.41
SASR,SANDY SPRING BANCORP INC,Financial Services,$31.41,4.0%,4.7%,$1.36,"$1,417",15.7,68.3%,0.68,$31.85,$18.20
SATS,EchoStar CORP,Technology,$19.53,0.0%,8.7%,$8.74,"$5,303",N/A,N/A,0.85,$20.86,$9.53
SAVA,CASSAVA SCIENCES INC,Healthcare,$30.95,0.0%,0.0%,$0.00,"$1,485",N/A,0.0%,0.83,$42.20,$8.79
SAVE,"Spirit Airlines, Inc.",Industrials,$2.81,43.0%,10.1%,$1.20,$307,N/A,0.0%,0.72,$17.00,$2.49
SB,"SAFE BULKERS, INC.",Industrials,$4.97,4.0%,2.1%,$0.20,$575,8.3,39.7%,0.59,$6.27,$2.84
SBCF,SEACOAST BANKING CORP OF FLORIDA,Financial Services,$27.61,3.0%,1.7%,$0.72,"$2,354",20.1,52.5%,0.70,$29.52,$18.63
SBGI,"Sinclair, Inc.",Communication Services,$14.01,7.0%,4.2%,$1.00,$930,N/A,N/A,0.82,$16.95,$8.88
SBH,"Sally Beauty Holdings, Inc.",Consumer Cyclical,$13.26,0.0%,0.0%,$0.00,"$1,360",7.4,0.0%,1.07,$13.91,$7.21
SBOW,"SILVERBOW RESOURCES, INC.",Energy,$36.82,0.0%,0.0%,$0.00,$937,5.0,0.0%,1.20,,
SBRA,"Sabra Health Care REIT, Inc.",Real Estate,$16.63,7.2%,7.8%,$1.20,"$3,896",74.5,531.0%,0.71,$16.69,$11.05
SBSI,SOUTHSIDE BANCSHARES INC,Financial Services,$33.80,4.3%,4.2%,$1.43,"$1,024",12.5,53.3%,0.40,$35.70,$24.47
SBT,"Sterling Bancorp, Inc.",Financial Services,$5.79,0.0%,0.1%,$0.04,$302,46.5,0.0%,0.29,$6.21,$4.55
SCHL,SCHOLASTIC CORP,Communication Services,$31.55,2.5%,2.3%,$0.80,$892,73.7,204.1%,0.78,$43.82,$28.47
SCL,STEPAN CO,Basic Materials,$76.99,1.9%,1.9%,$1.49,"$1,732",49.8,96.0%,0.78,$95.85,$62.76
SCLX,Scilex Holding Co,N/A,$1.22,0.0%,0.0%,$0.00,$234,N/A,0.0%,0.97,$3.63,$0.73
SCPH,scPharmaceuticals Inc.,Healthcare,$5.38,0.0%,0.0%,$0.00,$269,N/A,0.0%,0.85,$8.00,$3.24
SCS,STEELCASE INC,Industrials,$13.93,3.0%,3.6%,$0.40,"$1,591",17.6,52.8%,1.06,$14.74,$8.11
SCSC,"SCANSOURCE, INC.",Technology,$49.19,0.0%,0.0%,$0.00,"$1,215",15.2,0.0%,1.04,$53.29,$27.86
SCVL,SHOE CARNIVAL INC,Consumer Cyclical,$43.89,1.0%,0.8%,$0.51,"$1,191",16.1,17.5%,0.98,$44.48,$19.54
SCWO,374Water Inc.,N/A,$1.10,0.0%,0.0%,$0.00,$146,N/A,0.0%,0.98,$2.09,$0.83
SD,SANDRIDGE ENERGY INC,Energy,$13.44,14.0%,6.2%,$1.93,$499,12.4,177.5%,0.68,$15.06,$11.23
SDGR,"Schrodinger, Inc.",Healthcare,$19.89,0.0%,0.0%,$0.00,"$1,446",N/A,0.0%,2.01,$39.12,$18.02
SDRL,Seadrill Ltd,Energy,$43.52,0.0%,0.0%,$0.00,"$3,209",10.7,0.0%,1.07,$56.46,$38.60
SEAT,Vivid Seats Inc.,N/A,$4.70,0.0%,1.2%,$0.23,$978,31.0,0.0%,1.27,$8.80,$3.58
SEER,"Seer, Inc.",N/A,$1.61,0.0%,0.0%,$0.00,$99,N/A,0.0%,2.63,$2.74,$1.46
SEM,SELECT MEDICAL HOLDINGS CORP,Healthcare,$35.61,1.0%,1.0%,$0.50,"$4,626",17.2,36.5%,1.04,$40.35,$20.90
SEMR,"SEMrush Holdings, Inc.",N/A,$13.88,0.0%,0.0%,$0.00,"$2,033",136.5,0.0%,1.72,$16.42,$7.36
SENEA,Seneca Foods Corp,Consumer Defensive,$60.67,0.0%,0.0%,$0.00,$419,25.0,0.1%,0.24,$63.77,$43.89
SES,SES AI Corp,Energy,$1.07,0.0%,0.0%,$0.00,$383,N/A,0.0%,1.15,$2.66,$0.81
SFBS,"ServisFirst Bancshares, Inc.",Financial Services,$81.67,1.0%,1.3%,$1.18,"$4,451",22.5,24.3%,0.76,$83.61,$44.60
SFIX,"Stitch Fix, Inc.",Consumer Cyclical,$3.88,0.0%,0.0%,$0.00,$476,N/A,0.0%,1.94,$5.05,$2.06
SFL,SFL Corp Ltd.,Industrials,$11.65,9.3%,8.2%,$1.26,"$1,601",19.1,146.5%,0.44,$14.42,$9.66
SFM,"Sprouts Farmers Market, Inc.",Consumer Defensive,$97.90,0.0%,0.0%,$0.00,"$9,800",30.2,0.0%,0.69,$103.80,$38.46
SFNC,SIMMONS FIRST NATIONAL CORP,Financial Services,$21.30,3.9%,3.8%,$0.82,"$2,674",17.7,68.2%,0.74,$22.29,$12.91
SFST,SOUTHERN FIRST BANCSHARES INC,Financial Services,$31.90,0.0%,0.0%,$0.00,$263,19.1,0.0%,0.42,$39.36,$24.98
SG,"Sweetgreen, Inc.",Financial Services,$37.64,0.0%,0.0%,$0.00,"$4,297",N/A,0.0%,1.57,$38.53,$8.64
SGH,"SMART Global Holdings, Inc.",Technology,$20.96,0.0%,0.0%,$0.00,"$1,108",N/A,N/A,1.77,$29.81,$12.66
SGHC,Super Group (SGHC) Ltd,N/A,$3.40,3.0%,0.6%,$0.10,"$1,693",N/A,0.0%,0.86,$3.92,$2.55
SGHT,"Sight Sciences, Inc.",N/A,$6.69,0.0%,0.0%,$0.00,$340,N/A,0.0%,2.03,$8.45,$1.04
SGMO,"SANGAMO THERAPEUTICS, INC",Healthcare,$0.86,0.0%,0.0%,$0.00,$179,N/A,0.0%,1.26,$1.48,$0.29
SGMT,Sagimet Biosciences Inc.,N/A,$2.94,0.0%,0.0%,$0.00,$90,N/A,0.0%,4.13,$20.71,$2.13
SGRY,"Surgery Partners, Inc.",Healthcare,$33.69,0.0%,0.0%,$0.00,"$4,283",N/A,109.5%,1.87,$37.83,$22.05
SHAK,Shake Shack Inc.,Consumer Cyclical,$109.09,0.0%,0.0%,$0.00,"$4,628",174.3,0.9%,1.62,$111.29,$52.79
SHBI,SHORE BANCSHARES INC,Financial Services,$14.13,3.0%,3.9%,$0.48,$470,23.3,79.1%,0.52,$14.85,$9.27
SHCR,"Sharecare, Inc.",N/A,$1.38,0.0%,0.0%,$0.00,$512,N/A,0.0%,1.05,$1.40,$0.48
SHEN,SHENANDOAH TELECOMMUNICATIONS CO/VA/,Communication Services,$15.05,1.0%,25.2%,$0.09,$821,4.0,0.0%,0.81,$25.42,$11.87
SHLS,"Shoals Technologies Group, Inc.",N/A,$5.45,0.0%,0.0%,$0.00,$908,38.9,0.0%,1.49,$22.40,$4.88
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,$10.43,3.0%,2.5%,$0.30,"$2,121",12.6,43.7%,1.01,$11.42,$8.32
SHOO,"STEVEN MADDEN, LTD.",Consumer Cyclical,$45.17,2.0%,1.5%,$0.84,"$3,279",18.3,34.4%,1.19,$47.24,$29.90
SHYF,"SHYFT GROUP, INC.",N/A,$14.17,1.0%,1.1%,$0.20,$488,N/A,N/A,1.39,$17.49,$9.73
SIBN,"SI-BONE, Inc.",Healthcare,$16.48,0.0%,0.0%,$0.00,$690,N/A,0.0%,0.90,$23.25,$11.76
SIG,SIGNET JEWELERS LTD,Consumer Cyclical,$80.38,1.0%,1.0%,$1.04,"$3,581",5.5,9.9%,1.43,$111.67,$64.33
SIGA,SIGA TECHNOLOGIES INC,Healthcare,$9.49,11.0%,3.3%,$1.05,$677,8.1,50.8%,0.88,$12.83,$3.93
SIGI,SELECTIVE INSURANCE GROUP INC,Financial Services,$89.78,2.0%,1.3%,$1.40,"$5,463",24.4,38.2%,0.44,$108.74,$80.67
SILK,Silk Road Medical Inc,Healthcare,$27.25,0.0%,0.0%,$0.00,"$1,107",N/A,0.0%,1.72,$27.34,$6.08
SITC,SITE Centers Corp.,Real Estate,$61.22,0.0%,3.4%,$2.72,"$3,206",7.1,33.5%,1.17,$64.44,$41.83
SITM,SITIME Corp,Technology,$144.97,0.0%,0.0%,$0.00,"$3,348",N/A,0.0%,2.44,$165.11,$72.39
SIX,Six Flags Entertainment Corp,Consumer Cyclical,$31.96,5.0%,2.1%,$1.53,"$2,693",103.1,0.0%,1.50,,
SJW,SJW GROUP,Utilities,$58.31,2.7%,2.4%,$1.58,"$1,906",21.8,57.1%,0.49,$69.01,$50.66
SKIL,Skillsoft Corp.,N/A,$11.77,0.0%,0.0%,$0.00,$98,N/A,0.0%,1.76,$28.00,$5.09
SKIN,Beauty Health Co,N/A,$1.74,0.0%,0.0%,$0.00,$215,N/A,0.0%,1.66,$7.23,$0.91
SKT,TANGER INC.,Real Estate,$29.61,3.7%,3.2%,$1.07,"$3,239",16.0,109.6%,1.08,$29.71,$20.62
SKWD,"Skyward Specialty Insurance Group, Inc.",N/A,$39.86,0.0%,0.0%,$0.00,"$1,597",13.5,0.0%,0.10,$41.11,$22.97
SKY,Skyline Champion Corp,Consumer Cyclical,$92.56,0.0%,0.0%,$0.62,"$5,343",37.8,0.0%,1.58,$92.74,$52.12
SKYT,"SkyWater Technology, Inc",N/A,$9.75,0.0%,0.0%,$0.00,$463,N/A,N/A,2.71,$12.97,$4.73
SKYW,SKYWEST INC,Industrials,$76.27,0.0%,0.1%,$0.50,"$3,060",17.3,0.0%,1.17,$87.86,$36.91
SKYX,SKYX Platforms Corp.,N/A,$0.91,0.0%,0.0%,$0.00,$94,N/A,0.0%,0.74,$1.95,$0.72
SLAB,SILICON LABORATORIES INC.,Technology,$118.35,0.0%,0.0%,$0.00,"$3,820",N/A,0.0%,1.47,$154.91,$74.56
SLCA,"U.S. SILICA HOLDINGS, INC.",Energy,$15.50,0.0%,0.2%,$0.21,"$1,234",13.9,1.2%,1.22,,
SLDP,"Solid Power, Inc.",N/A,$1.53,0.0%,0.0%,$0.00,$276,N/A,0.0%,1.61,$2.35,$1.10
SLG,SL GREEN REALTY CORP,Real Estate,$66.46,4.5%,6.4%,$3.08,"$4,327",N/A,N/A,1.45,$68.92,$27.26
SLP,"Simulations Plus, Inc.",Healthcare,$36.82,1.0%,0.7%,$0.24,$737,76.4,49.7%,1.33,$51.14,$32.55
SLQT,"SelectQuote, Inc.",N/A,$3.81,0.0%,0.0%,$0.00,$641,N/A,0.0%,2.59,$4.46,$1.03
SLRN,"ACELYRIN, Inc.",N/A,$4.79,0.0%,0.0%,$0.00,$478,N/A,0.0%,0.82,$29.33,$3.36
SLVM,Sylvamo Corp,N/A,$78.93,2.0%,0.7%,$1.35,"$3,236",13.9,26.2%,0.43,$79.83,$37.73
SM,SM Energy Co,Energy,$45.87,2.0%,0.7%,$0.69,"$5,242",6.5,9.5%,1.31,$52.86,$33.70
SMBC,"SOUTHERN MISSOURI BANCORP, INC.",Financial Services,$57.89,1.6%,1.5%,$0.86,$659,12.6,18.2%,0.60,$59.67,$37.01
SMBK,SMARTFINANCIAL INC.,Financial Services,$29.04,1.0%,1.0%,$0.32,$490,19.1,21.2%,0.58,$29.75,$18.88
SMCI,"Super Micro Computer, Inc.",Technology,$613.10,0.0%,0.0%,$0.00,"$35,909",34.2,0.0%,1.48,"$1,229.00",$226.59
SMHI,SEACOR Marine Holdings Inc.,Industrials,$11.29,0.0%,0.0%,$0.00,$311,N/A,0.0%,0.86,$15.36,$9.83
SMLR,"Semler Scientific, Inc.",Healthcare,$29.27,0.0%,0.0%,$0.00,$209,13.2,0.0%,0.94,$53.38,$20.88
SMMF,"SUMMIT FINANCIAL GROUP, INC.",Financial Services,$25.84,3.0%,2.7%,$0.86,$377,6.6,23.2%,0.56,,
SMMT,Summit Therapeutics Inc.,Healthcare,$13.08,0.0%,0.0%,$0.00,"$9,477",N/A,0.0%,-1.04,$14.25,$1.52
SMP,"STANDARD MOTOR PRODUCTS, INC.",Consumer Cyclical,$31.88,4.0%,3.2%,$1.16,$692,17.8,66.6%,0.69,$40.64,$25.84
SMPL,Simply Good Foods Co,Consumer Defensive,$31.99,0.0%,0.0%,$0.00,"$3,200",21.8,0.0%,0.49,$43.00,$30.00
SMR,NUSCALE POWER Corp,N/A,$8.68,0.0%,0.0%,$0.00,"$2,160",N/A,0.0%,0.98,$16.91,$1.81
SMRT,"SmartRent, Inc.",Consumer Cyclical,$1.69,0.0%,0.0%,$0.00,$342,N/A,0.0%,1.67,$3.64,$1.35
SMTC,SEMTECH CORP,Technology,$36.91,0.0%,0.0%,$0.00,"$2,386",N/A,0.0%,1.47,$46.86,$13.13
SMTI,Sanara MedTech Inc.,Healthcare,$34.54,0.0%,0.0%,$0.00,$304,N/A,0.0%,0.62,$43.25,$26.00
SNBR,Sleep Number Corp,Consumer Cyclical,$14.37,0.0%,0.0%,$0.00,$321,N/A,0.0%,1.52,$27.89,$8.13
SNCY,"Sun Country Airlines Holdings, Inc.",N/A,$10.12,0.0%,0.0%,$0.00,$535,10.6,0.0%,1.01,$17.56,$9.22
SNDX,Syndax Pharmaceuticals Inc,Healthcare,$20.57,0.0%,0.0%,$0.00,"$1,751",N/A,0.0%,0.90,$25.34,$11.22
SNEX,StoneX Group Inc.,N/A,$81.60,0.0%,0.0%,$0.00,"$2,591",11.0,0.0%,0.52,$84.40,$57.46
SNFCA,SECURITY NATIONAL FINANCIAL CORP,Financial Services,$9.00,4.0%,4.9%,$0.39,$217,10.0,0.0%,0.57,$9.29,$6.19
SNPO,Snap One Holdings Corp.,N/A,$10.75,0.0%,0.0%,$0.00,$821,N/A,0.0%,1.21,,
SOI,"Solaris Oilfield Infrastructure, Inc.",Energy,$12.23,5.0%,3.9%,$0.59,$538,27.2,65.4%,0.92,$13.42,$6.34
SONO,Sonos Inc,Technology,$11.52,0.0%,0.0%,$0.00,"$1,393",N/A,0.0%,1.51,$19.76,$9.78
SOUN,"SOUNDHOUND AI, INC.",N/A,$5.03,0.0%,0.0%,$0.00,"$1,804",N/A,0.0%,2.08,$10.25,$1.49
SOVO,"Sovos Brands, Inc.",N/A,$23.00,0.0%,0.0%,$0.00,"$2,370",78.6,0.0%,0.46,,
SP,SP Plus Corp,Industrials,$53.99,0.0%,0.0%,$0.00,"$1,079",35.6,10.6%,0.72,,
SPCE,"Virgin Galactic Holdings, Inc",Industrials,$7.12,0.0%,0.0%,$0.00,$203,N/A,0.0%,2.08,$55.20,$5.27
SPFI,"SOUTH PLAINS FINANCIAL, INC.",Financial Services,$34.16,2.0%,1.2%,$0.54,$560,12.2,19.1%,0.41,$34.90,$23.30
SPHR,Sphere Entertainment Co.,N/A,$50.08,0.0%,0.0%,$0.00,"$1,770",N/A,0.0%,1.22,$51.83,$27.02
SPNS,SAPIENS INTERNATIONAL CORP N V,Technology,$36.07,1.0%,1.3%,$0.54,"$1,989",31.9,45.0%,1.00,$41.22,$24.18
SPNT,SiriusPoint Ltd,N/A,$14.95,0.0%,0.0%,$0.00,"$2,553",6.9,4.3%,0.83,$15.16,$9.43
SPOK,"Spok Holdings, Inc",Communication Services,$15.02,8.0%,5.9%,$1.25,$305,19.7,169.2%,0.37,$17.11,$12.21
SPRY,"ARS Pharmaceuticals, Inc.",N/A,$12.96,0.0%,0.0%,$0.00,"$1,256",N/A,0.0%,1.18,$16.50,$2.55
SPSC,SPS COMMERCE INC,Technology,$198.25,0.0%,0.0%,$0.00,"$7,358",102.4,0.0%,1.28,$218.74,$151.96
SPT,"Sprout Social, Inc.",Technology,$32.90,0.0%,0.0%,$0.00,"$1,879",N/A,0.0%,2.44,$68.41,$25.68
SPTN,SpartanNash Co,Consumer Defensive,$21.18,4.1%,4.2%,$0.86,$715,15.6,65.2%,0.54,$23.97,$17.74
SPWH,"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",Consumer Cyclical,$2.23,0.0%,0.0%,$0.00,$85,N/A,0.0%,0.37,$5.55,$1.81
SPWR,SunPower Corp,Technology,$0.11,,0.0%,$0.00,N/A,N/A,N/A,1.95,$7.77,$0.05
SPXC,"SPX Technologies, Inc.",Industrials,$157.95,0.0%,0.0%,$0.39,"$7,310",70.1,0.0%,1.00,$164.91,$76.61
SQSP,"Squarespace, Inc.",N/A,$45.00,0.0%,0.0%,$0.00,"$6,231",N/A,0.0%,0.90,$45.33,$26.70
SR,Spire Inc,Utilities,$65.60,4.6%,4.1%,$2.98,"$3,919",N/A,N/A,0.49,$68.02,$51.82
SRCE,1ST SOURCE CORP,Financial Services,$61.13,2.4%,2.2%,$1.38,"$1,499",11.7,26.6%,0.54,$65.24,$39.89
SRDX,SURMODICS INC,Healthcare,$39.69,0.0%,0.0%,$0.00,$567,N/A,0.0%,1.10,$42.44,$25.17
SRI,STONERIDGE INC,Consumer Cyclical,$14.10,0.0%,0.0%,$0.00,$390,210.4,0.0%,0.94,$21.33,$13.33
SRRK,Scholar Rock Holding Corp,Healthcare,$9.26,0.0%,0.0%,$0.00,$742,N/A,0.0%,1.39,$21.17,$5.93
SSB,SouthState Corp,Financial Services,$96.62,2.2%,2.3%,$2.10,"$7,367",15.4,33.4%,0.72,$100.71,$61.71
SSBK,"Southern States Bancshares, Inc.",N/A,$31.74,1.0%,0.7%,$0.36,$283,8.9,10.1%,0.37,$34.62,$21.40
SSD,"Simpson Manufacturing Co., Inc.",Industrials,$186.12,1.0%,0.6%,$1.36,"$7,849",23.6,13.8%,1.19,$217.71,$123.38
SSP,E.W. SCRIPPS Co,Communication Services,$2.15,0.0%,2.0%,$0.20,$186,N/A,N/A,1.10,$9.35,$1.96
SST,"System1, Inc.",N/A,$1.32,0.0%,0.0%,$0.00,$120,N/A,N/A,0.48,$3.02,$1.04
SSTI,"SOUNDTHINKING, INC.",Technology,$15.79,0.0%,0.0%,$0.00,$203,N/A,0.0%,1.01,$26.92,$11.00
SSTK,"Shutterstock, Inc.",Communication Services,$34.56,3.0%,2.3%,$1.14,"$1,224",26.0,86.1%,1.51,$53.98,$32.72
STAA,STAAR SURGICAL CO,Healthcare,$33.28,0.0%,0.0%,$0.00,"$1,636",98.5,0.0%,1.85,$52.68,$26.66
STBA,S&T BANCORP INC,Financial Services,$43.36,3.0%,2.8%,$1.32,"$1,657",11.9,35.8%,0.59,$45.41,$23.52
STC,STEWART INFORMATION SERVICES CORP,Financial Services,$73.01,3.0%,2.2%,$1.90,"$2,021",46.7,117.0%,0.98,$74.46,$37.48
STEL,"Stellar Bancorp, Inc.",N/A,$26.91,2.0%,2.0%,$0.52,"$1,443",12.6,24.3%,0.48,$28.71,$19.99
STEM,"STEM, INC.",N/A,$0.75,0.0%,0.0%,$0.00,$122,N/A,0.0%,2.58,$5.48,$0.47
STEP,StepStone Group Inc.,N/A,$53.68,2.0%,1.0%,$0.99,"$6,110",121.8,111.2%,1.48,$54.55,$24.51
STER,Sterling Check Corp.,N/A,$16.15,0.0%,0.0%,$0.00,"$1,584",N/A,0.0%,1.38,$16.68,$10.00
STGW,Stagwell Inc,N/A,$7.19,0.0%,0.0%,$0.84,"$1,891",N/A,71.5%,1.35,$7.25,$3.83
STHO,Star Holdings,N/A,$13.65,0.0%,0.0%,$0.00,$182,N/A,0.0%,1.03,$15.31,$10.76
STKL,SunOpta Inc.,Consumer Defensive,$6.11,0.0%,0.0%,$0.00,$713,N/A,N/A,0.96,$7.59,$2.79
STKS,"ONE Group Hospitality, Inc.",Consumer Cyclical,$3.96,0.0%,0.0%,$0.00,$124,N/A,0.0%,1.43,$7.08,$3.21
STNE,StoneCo Ltd,Technology,$13.94,0.0%,0.0%,$0.00,"$4,307",13.2,0.2%,2.00,$19.46,$9.34
STNG,Scorpio Tankers Inc.,Energy,$70.36,2.0%,0.9%,$1.55,"$3,745",6.8,10.5%,0.27,$84.21,$46.80
STOK,"Stoke Therapeutics, Inc.",Healthcare,$13.99,0.0%,0.0%,$0.00,$737,N/A,0.0%,1.72,$17.58,$3.35
STR,Sitio Royalties Corp.,N/A,$21.95,8.0%,2.9%,$1.71,"$1,844",64.2,53.8%,0.92,$25.30,$18.93
STRA,"Strategic Education, Inc.",Consumer Defensive,$97.42,2.0%,2.6%,$2.40,"$2,398",20.5,50.2%,0.85,$122.98,$72.58
STRL,"STERLING INFRASTRUCTURE, INC.",Industrials,$118.14,0.0%,0.0%,$0.00,"$3,630",22.3,0.0%,0.84,$137.63,$55.45
STRO,"SUTRO BIOPHARMA, INC.",Healthcare,$5.00,0.0%,0.0%,$0.00,$411,N/A,0.0%,1.41,$6.13,$2.01
