ticker,Name,Sector,Price,Dividend Yield,5-Year Average Dividend Yield,Dividends Per Share,Market Cap,Trailing PE Ratio,Payout Ratio,Beta,52 Week High,52 Week Low
APPS,"Digital Turbine, Inc.",Technology,$3.97,0.0%,0.0%,$0.00,$409,N/A,0.0%,2.70,$9.21,$1.39
ARAY,ACCURAY INC,Healthcare,$2.28,0.0%,0.0%,$0.00,$226,N/A,0.0%,1.45,$3.10,$1.40
ARCB,ARCBEST CORP /DE/,Industrials,$111.11,0.0%,0.4%,$0.48,"$2,626",20.5,8.9%,1.31,$153.27,$86.58
ARCH,"ARCH RESOURCES, INC.",Energy,$125.09,2.0%,0.9%,$2.76,"$2,260",8.7,60.9%,0.16,$186.37,$116.44
ARCT,Arcturus Therapeutics Holdings Inc.,Healthcare,$21.99,0.0%,0.0%,$0.00,$595,N/A,0.0%,2.08,$45.00,$17.52
ARDX,"ARDELYX, INC.",Healthcare,$6.35,0.0%,0.0%,$0.00,"$1,495",N/A,0.0%,1.05,$10.13,$3.16
ARI,"Apollo Commercial Real Estate Finance, Inc.",Real Estate,$10.34,13.5%,14.6%,$1.40,"$1,431",123.3,899.2%,1.48,$11.57,$8.38
ARIS,"Aris Water Solutions, Inc.",N/A,$16.97,3.0%,1.4%,$0.46,$986,40.4,40.8%,0.91,$17.91,$7.12
ARKO,ARKO Corp.,N/A,$6.33,2.0%,0.8%,$0.12,$733,24.2,55.1%,0.72,$8.30,$4.05
ARL,AMERICAN REALTY INVESTORS INC,Real Estate,$17.00,0.0%,0.0%,$0.20,$280,74.0,0.0%,0.20,$25.96,$11.69
ARLO,"Arlo Technologies, Inc.",Industrials,$12.44,0.0%,0.0%,$0.00,"$1,243",N/A,0.0%,0.95,$17.64,$7.77
AROC,"Archrock, Inc.",Energy,$20.12,3.0%,3.2%,$0.65,"$3,397",24.5,72.2%,0.72,$23.22,$11.29
AROW,ARROW FINANCIAL CORP,Financial Services,$30.50,3.5%,3.9%,$1.35,$511,16.1,57.1%,0.43,$32.60,$15.56
ARQT,Arcutis Biotherapeutics Inc,Healthcare,$9.83,0.0%,0.0%,$0.00,"$1,149",N/A,N/A,1.00,$13.17,$1.76
ARR,"Armour Residential REIT, Inc.",Real Estate,$20.08,14.3%,28.8%,$3.52,$980,N/A,N/A,1.30,$21.67,$11.53
ARRY,"Array Technologies, Inc.",N/A,$6.92,0.0%,0.0%,$0.00,"$1,051",63.2,0.0%,2.11,$26.64,$6.31
ARTNA,ARTESIAN RESOURCES CORP,Utilities,$35.14,3.4%,3.1%,$1.17,$361,19.7,66.1%,0.41,$46.03,$32.91
ARVN,"ARVINAS, INC.",Healthcare,$26.20,0.0%,0.0%,$0.00,"$1,797",N/A,0.0%,1.37,$53.08,$13.57
ARWR,"ARROWHEAD PHARMACEUTICALS, INC.",Healthcare,$24.80,0.0%,0.0%,$0.00,"$3,081",N/A,0.0%,1.47,$39.83,$20.67
ASAN,"Asana, Inc.",N/A,$13.91,0.0%,0.0%,$0.00,"$3,171",N/A,0.0%,2.55,$23.44,$11.29
ASB,ASSOCIATED BANC-CORP,Financial Services,$22.56,3.9%,3.9%,$0.87,"$3,401",19.1,76.1%,0.75,$24.21,$14.66
ASC,Ardmore Shipping Corp,Energy,$18.76,5.0%,1.8%,$0.87,$775,6.8,43.3%,0.35,$23.16,$11.33
ASGN,ASGN Inc,Industrials,$96.12,0.0%,0.0%,$0.00,"$4,307",21.8,0.0%,0.95,$106.42,$76.70
ASIX,AdvanSix Inc.,Basic Materials,$30.35,2.0%,1.1%,$0.64,$810,95.6,203.4%,1.15,$33.43,$20.74
ASLE,AerSale Corp,N/A,$5.18,0.0%,0.0%,$0.00,$276,N/A,0.0%,0.82,$16.69,$4.88
ASO,"Academy Sports & Outdoors, Inc.",N/A,$54.49,1.0%,0.4%,$0.40,"$3,930",7.8,5.7%,1.36,$75.45,$42.60
ASPN,ASPEN AEROGELS INC,Industrials,$30.12,0.0%,0.0%,$0.00,"$2,323",4019.5,0.0%,2.22,$33.15,$5.33
ASRT,"Assertio Holdings, Inc.",Healthcare,$1.27,0.0%,0.0%,$0.00,$122,N/A,0.0%,1.18,$3.41,$0.73
ASTE,ASTEC INDUSTRIES INC,Industrials,$34.10,2.0%,1.7%,$0.52,$776,N/A,N/A,1.10,$55.48,$28.34
ASTS,"AST SpaceMobile, Inc.",N/A,$33.08,0.0%,0.0%,$0.00,"$8,852",N/A,0.0%,1.86,$39.08,$1.97
ASUR,ASURE SOFTWARE INC,Technology,$8.77,0.0%,0.0%,$0.00,$232,N/A,0.0%,0.63,$12.94,$6.31
ATEC,"Alphatec Holdings, Inc.",Healthcare,$5.73,0.0%,0.0%,$0.00,$806,N/A,0.0%,1.57,$17.34,$5.57
ATEN,A10 Networks Inc,Technology,$13.35,2.0%,1.0%,$0.24,$987,N/A,N/A,0.97,$16.38,$9.86
ATEX,Anterix Inc.,Communication Services,$38.10,0.0%,0.0%,$0.00,$708,N/A,0.0%,0.49,$42.41,$28.70
ATGE,Adtalem Global Education Inc.,Consumer Defensive,$75.38,0.0%,0.0%,$0.36,"$2,840",20.8,0.0%,0.79,$80.18,$41.89
ATI,ATI INC,Industrials,$67.16,0.0%,0.0%,$0.32,"$8,360",21.8,0.0%,1.08,$68.92,$35.03
ATKR,Atkore Inc.,Industrials,$102.78,1.0%,0.1%,$0.96,"$3,685",6.8,0.0%,1.37,$193.93,$91.01
ATLC,Atlanticus Holdings Corp,Financial Services,$34.69,0.0%,0.0%,$0.50,$516,6.7,24.7%,1.95,$39.54,$23.10
ATLO,AMES NATIONAL CORP,Financial Services,$18.06,6.0%,5.7%,$1.08,$163,17.1,101.7%,0.26,$21.76,$14.21
ATMU,Atmus Filtration Technologies Inc.,N/A,$34.37,0.0%,0.0%,$0.05,"$2,864",16.5,0.0%,0.78,$34.44,$18.18
ATNI,"ATN International, Inc.",Communication Services,$26.81,3.0%,2.9%,$0.93,$405,N/A,N/A,0.53,$38.98,$18.01
ATNM,"Actinium Pharmaceuticals, Inc.",Healthcare,$2.01,0.0%,0.0%,$0.00,$63,N/A,0.0%,0.73,$10.24,$1.33
ATOM,Atomera Inc,Technology,$3.02,0.0%,0.0%,$0.00,$84,N/A,0.0%,1.74,$9.19,$2.67
ATRA,"Atara Biotherapeutics, Inc.",Healthcare,$7.31,0.0%,0.0%,$0.00,$35,N/A,0.0%,2.31,$49.00,$4.97
ATRC,"AtriCure, Inc.",Healthcare,$25.44,0.0%,0.0%,$0.00,"$1,239",N/A,0.0%,1.58,$47.13,$18.94
ATRI,ATRION CORP,Healthcare,$459.98,1.9%,1.7%,$8.80,$809,4.5,1.5%,0.59,,
ATRO,ASTRONICS CORP,Industrials,$20.70,0.0%,0.0%,$2.97,$725,N/A,0.0%,0.83,$23.74,$14.11
